zip,lat,lng,city,state_id,state_name,,county_name,timezone
65760,36.62236,-92.27943,Tecumseh,MO,Missouri,,Ozark,America/Chicago
65761,36.56974,-92.72561,Theodosia,MO,Missouri,,Ozark,America/Chicago
65762,36.68613,-92.65634,Thornfield,MO,Missouri,,Ozark,America/Chicago
65764,37.82189,-92.95682,Tunas,MO,Missouri,,Dallas,America/Chicago
65766,36.53933,-92.25948,Udall,MO,Missouri,,Ozark,America/Chicago
65767,37.84495,-93.1529,Urbana,MO,Missouri,,Dallas,America/Chicago
65768,36.92072,-92.26456,Vanzant,MO,Missouri,,Douglas,America/Chicago
65769,36.91676,-93.79511,Verona,MO,Missouri,,Barry,America/Chicago
65770,37.42165,-93.5456,Walnut Grove,MO,Missouri,,Greene,America/Chicago
65771,36.77484,-93.2042,Walnut Shade,MO,Missouri,,Taney,America/Chicago
65772,36.59624,-94.03479,Washburn,MO,Missouri,,Barry,America/Chicago
65773,36.75551,-92.51332,Wasola,MO,Missouri,,Ozark,America/Chicago
65774,37.92806,-93.49529,Weaubleau,MO,Missouri,,Hickory,America/Chicago
65775,36.6995,-91.85999,West Plains,MO,Missouri,,Howell,America/Chicago
65777,36.51768,-91.98356,Moody,MO,Missouri,,Howell,America/Chicago
65778,36.52846,-91.2719,Myrtle,MO,Missouri,,Oregon,America/Chicago
65779,37.9789,-93.38561,Wheatland,MO,Missouri,,Hickory,America/Chicago
65781,37.35035,-93.41778,Willard,MO,Missouri,,Greene,America/Chicago
65783,37.7153,-92.91623,Windyville,MO,Missouri,,Dallas,America/Chicago
65784,36.72588,-92.31538,Zanoni,MO,Missouri,,Ozark,America/Chicago
65785,37.70296,-93.82338,Stockton,MO,Missouri,,Cedar,America/Chicago
65786,37.96715,-92.96516,Macks Creek,MO,Missouri,,Camden,America/Chicago
65787,38.07306,-92.89213,Roach,MO,Missouri,,Camden,America/Chicago
65788,36.81442,-91.69626,Peace Valley,MO,Missouri,,Howell,America/Chicago
65789,36.85719,-91.88968,Pomona,MO,Missouri,,Howell,America/Chicago
65790,36.69784,-92.11326,Pottersville,MO,Missouri,,Howell,America/Chicago
65791,36.56651,-91.49583,Thayer,MO,Missouri,,Oregon,America/Chicago
65793,36.98975,-91.9787,Willow Springs,MO,Missouri,,Howell,America/Chicago
65801,37.21421,-93.29521,Springfield,MO,Missouri,,Greene,America/Chicago
